name,KIDS_ID,RAJ2000,DECJ2000,mag,mag_err,zphot,z_min,z_max,score,rms,probability,s*p/10,num_0
LRG_163.31341_-0.4894.fits.png,KiDSDR4 J105315.217-002921.78,163.313407,-0.489385,19.4263,0.00623605,0.43,0.39,0.45,3.4,3.137,0.974,0.331,2.0
LRG_192.47196_0.6735.fits.png,KiDSDR4 J124953.270+004024.63,192.471962,0.673509,17.6105,0.00267175,0.3,0.27,0.32,3.4,3.137,0.963,0.327,2.0
LRG_168.17478_-0.8662.fits.png,KiDSDR4 J111241.946-005158.47,168.174778,-0.866243,18.6383,0.00351056,0.37,0.34,0.4,3.4,3.137,0.96,0.326,2.0
LRG_215.88388_-0.521.fits.png,KiDSDR4 J142332.130-003115.73,215.883879,-0.521038,19.3595,0.00970765,0.49,0.46,0.51,4.0,3.95,0.808,0.323,2.0
LRG_13.22706_-30.6252.fits.png,KiDSDR4 J005254.493-303730.77,13.227055,-30.625215,18.208,0.00390739,0.34,0.31,0.36,3.4,3.137,0.951,0.323,2.0
galaxy_234.2229_-1.7731.fits.png,KiDSDR4 J153653.497-014623.27,234.222905,-1.773131,18.2002,0.00342381,0.61,0.58,0.63,3.2,2.227,0.999,0.32,1.0
galaxy_25.84439_-28.731.fits.png,KiDSDR4 J014322.653-284351.61,25.844388,-28.731003,18.5844,0.00351101,0.33,0.3,0.35,3.2,2.227,1.0,0.32,1.0
galaxy_190.08093_-0.2562.fits.png,KiDSDR4 J124019.422-001522.18,190.080927,-0.256163,19.0693,0.00569411,0.38,0.34,0.4,3.2,2.227,1.0,0.32,1.0
galaxy_334.08905_-29.1798.fits.png,KiDSDR4 J221621.372-291047.35,334.089052,-29.179822,18.9696,0.00355573,0.42,0.38,0.44,3.2,2.227,0.994,0.318,1.0
galaxy_160.42449_2.7261.fits.png,KiDSDR4 J104141.877+024334.01,160.424491,2.726114,18.7798,0.00470746,0.32,0.29,0.34,3.2,2.227,0.994,0.318,1.0
LRG_356.05602_-32.016.fits.png,KiDSDR4 J234413.445-320057.62,356.056021,-32.016007,19.3337,0.007071,0.59,0.56,0.62,3.2,2.227,0.992,0.317,1.0
galaxy_2.59496_-33.0653.fits.png,KiDSDR4 J001022.789-330355.08,2.594958,-33.0653,18.5033,0.00254049,0.27,0.24,0.29,3.2,2.227,0.992,0.317,1.0
galaxy_350.73417_-28.2852.fits.png,KiDSDR4 J232256.201-281706.70,350.734174,-28.285196,18.1873,0.0023035,0.32,0.29,0.34,3.2,2.227,0.992,0.317,1.0
galaxy_355.5938_-31.2338.fits.png,KiDSDR4 J234222.511-311401.54,355.593799,-31.233762,18.3174,0.00260099,0.37,0.34,0.39,3.2,2.227,0.992,0.317,1.0
galaxy_36.53909_-31.1039.fits.png,KiDSDR4 J022609.381-310614.12,36.53909,-31.103923,17.7327,0.00202521,0.64,0.61,0.66,3.2,2.227,0.988,0.316,1.0
galaxy_207.29744_0.9481.fits.png,KiDSDR4 J134911.385+005653.21,207.29744,0.948114,19.0765,0.00547543,0.43,0.39,0.45,3.2,2.227,0.98,0.314,1.0
galaxy_178.85972_2.1546.fits.png,KiDSDR4 J115526.332+020916.47,178.859719,2.154576,19.5064,0.00552684,0.22,0.19,0.24,3.2,2.227,0.98,0.314,1.0
LRG_177.03551_-2.5655.fits.png,KiDSDR4 J114808.522-023355.69,177.035511,-2.56547,18.3744,0.00374105,0.43,0.4,0.45,3.4,3.137,0.912,0.31,2.0
LRG_156.31109_1.9491.fits.png,KiDSDR4 J102514.661+015656.72,156.311091,1.94909,19.4362,0.007601,0.46,0.43,0.49,3.4,3.137,0.886,0.301,2.0
